category_code,category_name,program_code,program_name,commodity_code,commodity_name
A1,EMERGING MARKETS PROGRAM,7847,EMERGING MARKETS PROGRAM,0000,N/A
A2,AGRICULTURAL MANAGEMENT ASSIST,3520,AGRICULTURAL MANAGEMENT ASSISTANCE PROGRAM,0000,N/A
A2,AGRICULTURAL MANAGEMENT ASSIST,3530,AGRICULTURAL MANAGEMENT ASSISTANCE PROGRAM,0000,N/A
A3,SOIL/WATER CONSERVATION ASSIST,3535,SOIL & WATER AGRICULTURAL ASSISTANCE PROGRAM,0000,N/A
A4,QUALITY LOSSES PROGRAM,2661,QUALITY LOSSES PROGRAM,0000,N/A
A4,QUALITY LOSSES PROGRAM,2684,QUALITY LOSSES PROGRAM - AUTHORIZED,0000,N/A
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,2500,FLAX
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,2600,SOYBEAN
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,6900,SESAME
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,7100,SUNFLOWER
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,7200,CANOLA
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,7300,RAPE SEED
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,7400,SAFFLOWER
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,7600,MUSTARD
A5,SUPL OILSEED PAYMENT PROGRAM,2660,SUPPLEMENTAL OILSEED PAYMENT PROGRAM,8000,CRAMBE SEED
A6,WAMLAP III - APPORTIONED,5270,WOOL & MOHAIR MARKET LOSS ASSISTANCE PROGRAM III - WOOL,0000,N/A
A6,WAMLAP III - APPORTIONED,5271,WOOL & MOHAIR MARKET LOSS ASSISTANCE PROGRAM III - MOHAIR,0000,N/A
A8,PEANUT MARKETING ASST PGM III,5227,PEANUT MARKETING ASSISTANCE III,0000,N/A
A9,SPECIALTY CROPS-BASE ST GRANTS,2666,SPECIALTY CROPS-BASE STATE GRANTS,0000,N/A
B0,SPECIALTY CROPS-VALUE OF PRDCTN,2667,SPECIALTY CROPS-VALUE OF PRODUCTION,0000,N/A
B1,COMMODITY ASSISTANCE PROGRAM,2668,STATE COMMODITY ASSISTANCE PROGRAM,0000,N/A
B2,SUPPLEMENTAL TOBACCO LOSS,5241,SUPPLEMENTAL TOBACCO LOSS ASSISTANCE PROGRAM,7071,BURLEY
B2,SUPPLEMENTAL TOBACCO LOSS,5241,SUPPLEMENTAL TOBACCO LOSS ASSISTANCE PROGRAM,7073,FLUE-CURED
B2,SUPPLEMENTAL TOBACCO LOSS,5241,SUPPLEMENTAL TOBACCO LOSS ASSISTANCE PROGRAM,7075,VIRGINIA FIRE-CURED
B2,SUPPLEMENTAL TOBACCO LOSS,5241,SUPPLEMENTAL TOBACCO LOSS ASSISTANCE PROGRAM,7077,CIGAR BINDER/FILLER
B4,APPLE & POTATO QUALITY LOSS,2662,APPLE & POTATO QUALITY LOSS PROGRAM,0000,N/A
B4,APPLE & POTATO QUALITY LOSS,2672,APPLE & POTATO QUALITY LOSS PROGRAM - AUTHORIZED PROCESS,0000,N/A
B5,KLAMATH BASIN WATER PROGRAM,2670,KLAMATH BASIN WATER PROGRAM,0000,N/A
B6,FARMLAND PROTECTION PROGRAM,3750,FARMLAND PROTECTION PROGRAM,0000,N/A
B7,CONSERVATION FARM OPTIONS,3315,CONSERVATION FARM OPTIONS,0000,N/A
B8,NRCS ENVIRON QLTY INCENTIVE,3035,NRCS ADMINISTERED EQIP - NORMAL EQIP,0000,N/A
B8,NRCS ENVIRON QLTY INCENTIVE,3040,NRCS ADMINISTERED EQIP - GROUND & SURFACE WATER CONSERVATION,0000,N/A
B8,NRCS ENVIRON QLTY INCENTIVE,3045,NRCS ADMINISTERED EQIP - KLAMATH BASIN,0000,N/A
